"Gesundheitsbereich";"Thema";"Seitenelement";"Textfunktion";"Kontext / Variante";"Deutscher Ausgangstext";"Aktueller Text";"Neuer Text";"Review-Kommentar";"Freigabe durch";"Freigabestatus";"Prüfhinweis";"Platzhalter";"Geschützte Begriffe";"ID (technisch)";"Domain (technisch)";"Sprache (technisch)";"Austauschformat (technisch)";"Quellversion (technisch)";"Zeilen-Hash (technisch)"
"Fragebogen";"Fragebogen";"Fragebogen";"Antwortoption";"Allgemeine Antwortoption für unterstützte Fragen";"Weiss ich nicht";"Non lo so";"";"";"Marketing";"Prüfung erforderlich";"";"";"";"questionnaire.common.dont_know";"questionnaire";"it-CH";"3";"v1:3c6570e9d1cf1299b1cb2a03287e43d6c3af506998a6646f1e2c1a1b8497e81a";"028cdb3dcc935356121cd7435265aa0b26c80aef68696b96c9cc7b8ff1e0236f"
"Fragebogen";"Fragebogen";"Fragebogen";"Sicherheitshinweis";"Optionale Fitness-Kurztests, Sicherheitshinweis";"Bei körperlichen Einschränkungen oder Verletzungsrisiken sollte dieser Test nicht durchgeführt werden.";"In presenza di limitazioni fisiche o rischio di infortunio, questo test non dovrebbe essere eseguito.";"";"";"Marketing, Medizin";"Prüfung erforderlich";"";"";"";"questionnaire.common.fitness_test_safety_note";"questionnaire";"it-CH";"3";"v1:3c6570e9d1cf1299b1cb2a03287e43d6c3af506998a6646f1e2c1a1b8497e81a";"1d591677b75e719dd8e5ed04029909ec63efa726be38a1f92527fd77278e0295"
"Fragebogen";"Fragebogen";"Fragebogen";"Antwortoption";"Mentale Gesundheit, gemeinsame Zustimmungsskala";"Stimme völlig zu";"Pienamente d’accordo";"";"";"Marketing";"Prüfung erforderlich";"";"";"";"questionnaire.common.agreement.fully";"questionnaire";"it-CH";"3";"v1:3c6570e9d1cf1299b1cb2a03287e43d6c3af506998a6646f1e2c1a1b8497e81a";"eb757104cd13ddede4968fa5ca948924a0b9ce6abf84aadf21a33cc9f1de46c2"
"Fragebogen";"Fragebogen";"Fragebogen";"Antwortoption";"Mentale Gesundheit, gemeinsame Zustimmungsskala";"Stimme eher zu";"Piuttosto d’accordo";"";"";"Marketing";"Prüfung erforderlich";"";"";"";"questionnaire.common.agreement.mostly";"questionnaire";"it-CH";"3";"v1:3c6570e9d1cf1299b1cb2a03287e43d6c3af506998a6646f1e2c1a1b8497e81a";"96ebf5ee80ceab31dcb46cb91f4191d4c462861565f215ef3ef45796ac5733ca"
"Fragebogen";"Fragebogen";"Fragebogen";"Antwortoption";"Mentale Gesundheit, gemeinsame Zustimmungsskala";"Stimme eher nicht zu";"Piuttosto in disaccordo";"";"";"Marketing";"Prüfung erforderlich";"";"";"";"questionnaire.common.agreement.mostly_not";"questionnaire";"it-CH";"3";"v1:3c6570e9d1cf1299b1cb2a03287e43d6c3af506998a6646f1e2c1a1b8497e81a";"e51ae3b6395361280553a9fe1c592dd5e32ade4693eb464750f2f65f5d7941bd"
"Fragebogen";"Fragebogen";"Fragebogen";"Antwortoption";"Mentale Gesundheit, gemeinsame Zustimmungsskala";"Weder noch";"Né d’accordo né in disaccordo";"";"";"Marketing";"Prüfung erforderlich";"";"";"";"questionnaire.common.agreement.neutral";"questionnaire";"it-CH";"3";"v1:3c6570e9d1cf1299b1cb2a03287e43d6c3af506998a6646f1e2c1a1b8497e81a";"21598ceaa6e319a9444301ebe068bb1418bf6c41c19f189a92d0acb6a266d1b0"
"Fragebogen";"Fragebogen";"Fragebogen";"Antwortoption";"Mentale Gesundheit, gemeinsame Zustimmungsskala";"Stimme gar nicht zu";"Per niente d’accordo";"";"";"Marketing";"Prüfung erforderlich";"";"";"";"questionnaire.common.agreement.not_at_all";"questionnaire";"it-CH";"3";"v1:3c6570e9d1cf1299b1cb2a03287e43d6c3af506998a6646f1e2c1a1b8497e81a";"3e725f1720a944124cb9f1d1acf6152b35a99661c5bb3dfe5f3749f174c394ce"
"Fragebogen";"Fragebogen";"Fragebogen";"Frage";"Frage «Alkohol» · Fragetext";"Wie häufig haben Sie im letzten Monat alkoholische Getränke konsumiert?";"Con quale frequenza ha consumato bevande alcoliche nell’ultimo mese?";"";"";"Marketing, Medizin";"Prüfung erforderlich";"";"";"";"questionnaire.question.alkohol.text";"questionnaire";"it-CH";"3";"v1:3c6570e9d1cf1299b1cb2a03287e43d6c3af506998a6646f1e2c1a1b8497e81a";"4fbb6e17c610a4baf8a63a3de00cee7449e954a9b345f84fcd171d55902a8aed"
"Fragebogen";"Fragebogen";"Fragebogen";"Hilfetext";"Frage «Alkohol» · Hilfetext";"Die Vorstellung, dass ein Glas Wein pro Tag gesund sei, ist ein Mythos, der auf fehlerhaften Studien beruht. Bereits in geringen Mengen erhöht Alkohol das Risiko für Krebs und Herz-Kreislauf-Erkrankungen. Auch das Suchtpotential von Alkohol, selbst bei geringen Mengen und regelmässigem Konsum, wird stark unterschätzt.";"L’idea che un bicchiere di vino al giorno faccia bene alla salute è un mito basato su studi errati. Anche in piccole quantità, l’alcol aumenta il rischio di cancro e malattie cardiovascolari. Anche il potenziale di dipendenza dell’alcol, persino con piccole quantità e un consumo regolare, viene fortemente sottovalutato.";"";"";"Marketing, Medizin";"Prüfung erforderlich";"";"";"";"questionnaire.question.alkohol.help";"questionnaire";"it-CH";"3";"v1:3c6570e9d1cf1299b1cb2a03287e43d6c3af506998a6646f1e2c1a1b8497e81a";"7e01af2bdc93023ff79c0734f51f58ea0db9b207270e17440670b4cccccce89f"
"Fragebogen";"Fragebogen";"Fragebogen";"Titel des Hilfetexts";"Frage «Alkohol» · Titel des Hilfetexts";"Haben Sie gewusst?";"Lo sapeva?";"";"";"Marketing";"Prüfung erforderlich";"";"";"";"questionnaire.question.alkohol.help_title";"questionnaire";"it-CH";"3";"v1:3c6570e9d1cf1299b1cb2a03287e43d6c3af506998a6646f1e2c1a1b8497e81a";"58c92b74e230f40b3791b11047d2414ab9ccf558be1678900705407ad9239375"
